年份,品类,指标,省份,数值,单位,作物类别
2024,稻谷,产量,吉林,6763800.0,吨,粮食作物
2024,稻谷,产量,福建,3976800.0,吨,粮食作物
2024,稻谷,产量,湖北,18892500.0,吨,粮食作物
2024,稻谷,产量,重庆,4920700.0,吨,粮食作物
2024,稻谷,产量,贵州,3794700.0000000005,吨,粮食作物
2024,稻谷,产量,云南,4529000.0,吨,粮食作物
2024,稻谷,种植面积,吉林,12346500.0,亩,粮食作物
2024,稻谷,种植面积,湖北,34148250.0,亩,粮食作物
2024,稻谷,种植面积,贵州,8615850.0,亩,粮食作物
2024,粮食,产量,全国,706499000.0,吨,粮食作物
2024,粮食,产量,北京,576000.0,吨,粮食作物
2024,粮食,产量,天津,2706000.0,吨,粮食作物
2024,粮食,产量,河北,39088000.0,吨,粮食作物
2024,粮食,产量,山西,14687000.0,吨,粮食作物
2024,粮食,产量,内蒙古,41005000.0,吨,粮食作物
2024,粮食,产量,辽宁,25005000.0,吨,粮食作物
2024,粮食,产量,吉林,42660000.0,吨,粮食作物
2024,粮食,产量,黑龙江,80017000.0,吨,粮食作物
2024,粮食,产量,上海,982900.0000000001,吨,粮食作物
2024,粮食,产量,江苏,38101000.0,吨,粮食作物
2024,粮食,产量,浙江,6502000.0,吨,粮食作物
2024,粮食,产量,安徽,41843000.0,吨,粮食作物
2024,粮食,产量,福建,5143800.0,吨,粮食作物
2024,粮食,产量,江西,21960000.0,吨,粮食作物
2024,粮食,产量,山东,57102000.0,吨,粮食作物
2024,粮食,产量,湖北,27853400.0,吨,粮食作物
2024,粮食,产量,湖南,30781000.0,吨,粮食作物
2024,粮食,产量,广东,13134000.0,吨,粮食作物
2024,粮食,产量,广西,14038000.0,吨,粮食作物
2024,粮食,产量,海南,1424000.0,吨,粮食作物
2024,粮食,产量,重庆,11007300.0,吨,粮食作物
2024,粮食,产量,四川,36338000.0,吨,粮食作物
2024,粮食,产量,贵州,11461099.999999998,吨,粮食作物
2024,粮食,产量,西藏,1129000.0,吨,粮食作物
2024,粮食,产量,陕西,13523000.0,吨,粮食作物
2024,粮食,产量,甘肃,12961000.0,吨,粮食作物
2024,粮食,产量,青海,1182500.0,吨,粮食作物
2024,粮食,产量,宁夏,3859200.0,吨,粮食作物
2024,粮食,产量,新疆,23302000.0,吨,粮食作物
2024,粮食,种植面积,全国,1789786500.0,亩,粮食作物
2024,粮食,种植面积,北京,1413000.0,亩,粮食作物
2024,粮食,种植面积,天津,5986500.0,亩,粮食作物
2024,粮食,种植面积,河北,96901500.0,亩,粮食作物
2024,粮食,种植面积,山西,47274000.0,亩,粮食作物
2024,粮食,种植面积,辽宁,53662500.0,亩,粮食作物
2024,粮食,种植面积,吉林,87807000.0,亩,粮食作物
2024,粮食,种植面积,黑龙江,221310000.0,亩,粮食作物
2024,粮食,种植面积,上海,1954500.0000000002,亩,粮食作物
2024,粮食,种植面积,江苏,82132950.0,亩,粮食作物
2024,粮食,种植面积,浙江,15705000.0,亩,粮食作物
2024,粮食,种植面积,安徽,110173500.0,亩,粮食作物
2024,粮食,种植面积,福建,12666000.0,亩,粮食作物
2024,粮食,种植面积,江西,56619000.0,亩,粮食作物
2024,粮食,种植面积,山东,126189000.0,亩,粮食作物
2024,粮食,种植面积,河南,161656500.0,亩,粮食作物
2024,粮食,种植面积,湖北,70839000.0,亩,粮食作物
2024,粮食,种植面积,湖南,71601000.0,亩,粮食作物
2024,粮食,种植面积,广东,33551250.0,亩,粮食作物
2024,粮食,种植面积,广西,42627000.0,亩,粮食作物
2024,粮食,种植面积,海南,4090500.0,亩,粮食作物
2024,粮食,种植面积,重庆,30478500.0,亩,粮食作物
2024,粮食,种植面积,四川,96088500.0,亩,粮食作物
2024,粮食,种植面积,贵州,41571000.0,亩,粮食作物
2024,粮食,种植面积,西藏,2991000.0,亩,粮食作物
2024,粮食,种植面积,陕西,45478500.0,亩,粮食作物
2024,粮食,种植面积,甘肃,40738500.0,亩,粮食作物
2024,粮食,种植面积,青海,4588050.0,亩,粮食作物
2024,粮食,种植面积,宁夏,10413000.0,亩,粮食作物
2024,粮食,种植面积,新疆,44400000.0,亩,粮食作物
2024,糖料,产量,全国,118700000.0,吨,经济作物
2024,糖料,种植面积,全国,22200000.0,亩,经济作物
2024,糖料,种植面积,湖南,114000.0,亩,经济作物
2024,花生,产量,江苏,418300.0,吨,经济作物
2024,花生,产量,安徽,739000.0,吨,经济作物
2024,花生,产量,福建,233900.0,吨,经济作物
2024,苹果,产量,陕西,14498599.999999998,吨,经济作物
2024,苹果,产量,新疆,2295300.0,吨,经济作物
2024,葡萄,产量,新疆,3482799.9999999995,吨,经济作物
2024,蔬菜,产量,天津,2660000.0,吨,经济作物
2024,蔬菜,产量,河北,57173000.0,吨,经济作物
2024,蔬菜,产量,上海,2537800.0,吨,经济作物
2024,蔬菜,产量,安徽,41845000.0,吨,经济作物
2024,蔬菜,产量,重庆,24363200.0,吨,经济作物
2024,蔬菜,产量,贵州,35431500.0,吨,经济作物
2024,蔬菜,产量,云南,30941400.0,吨,经济作物
2024,蔬菜,产量,西藏,965000.0,吨,经济作物
2024,蔬菜,产量,甘肃,19619000.0,吨,经济作物
2024,蔬菜,产量,青海,1650000.0,吨,经济作物
2024,蔬菜,种植面积,上海,1314000.0,亩,经济作物
2024,蔬菜,种植面积,江苏,22515000.0,亩,经济作物
2024,蔬菜,种植面积,浙江,10215000.0,亩,经济作物
2024,蔬菜,种植面积,江西,10809000.0,亩,经济作物
2024,蔬菜,种植面积,广东,22339950.0,亩,经济作物
2024,蔬菜,种植面积,贵州,21796500.0,亩,经济作物
2024,蔬菜,种植面积,青海,664350.0,亩,经济作物
2024,薯类,产量,全国,30584000.0,吨,粮食作物
2024,薯类,产量,贵州,2732700.0,吨,粮食作物
2024,薯类,产量,甘肃,2307000.0,吨,粮食作物
2024,薯类,产量,青海,313400.0,吨,粮食作物
2024,薯类,种植面积,全国,105586500.0,亩,粮食作物
2024,薯类,种植面积,贵州,12390450.0,亩,粮食作物
2024,谷物,产量,全国,652287000.0,吨,粮食作物
2024,谷物,产量,湖北,26249000.0,吨,粮食作物
2024,谷物,产量,重庆,7681500.0,吨,粮食作物
2024,谷物,种植面积,全国,1506870000.0,亩,粮食作物
2024,豆类,产量,全国,23628000.0,吨,粮食作物
2024,豆类,产量,青海,50700.0,吨,粮食作物
2024,豆类,种植面积,全国,177330000.0,亩,粮食作物
2024,豆类,种植面积,吉林,5932500.0,亩,粮食作物
2024,豆类,种植面积,青海,282900.0,亩,粮食作物
2024,香蕉,产量,海南,1102000.0,吨,经济作物
2024,马铃薯,种植面积,甘肃,8670000.0,亩,粮食作物
